Year,State,Total Population,Poverty,Median Age,Unemployed Civilians,Median Household Income,Per Capita Income,% in Poverty,% in Unemployed
2014,Maryland,5887776.0,573383.0,38.1,257918.0,74149.0,36670.0,9.74,4.38
2014,Massachusetts,6657291.0,742784.0,39.3,309050.0,67846.0,36441.0,11.16,4.64
2014,Michigan,9889024.0,1633316.0,39.3,554747.0,49087.0,26143.0,16.52,5.61
2014,Minnesota,5383661.0,605761.0,37.6,192010.0,60828.0,31642.0,11.25,3.57
2014,Mississippi,2984345.0,653726.0,36.3,147210.0,39464.0,20956.0,21.91,4.93
2014,Missouri,6028076.0,912291.0,38.1,254534.0,47764.0,26006.0,15.13,4.22
2014,Montana,1006370.0,150096.0,39.8,35284.0,46766.0,25977.0,14.91,3.51
2014,Nebraska,1855617.0,231762.0,36.2,54785.0,52400.0,27339.0,12.49,2.95
2014,Nevada,2761584.0,423578.0,36.9,166167.0,52205.0,26515.0,15.34,6.02
2014,New Hampshire,1321069.0,113374.0,41.8,48029.0,65986.0,33821.0,8.58,3.64
2014,New Jersey,8874374.0,934665.0,39.3,453097.0,72062.0,36359.0,10.53,5.11
2014,New Mexico,2080085.0,426116.0,36.8,93106.0,44968.0,23948.0,20.49,4.48
2014,New York,19594330.0,2978521.0,38.1,893092.0,58687.0,32829.0,15.2,4.56
2014,North Carolina,9750405.0,1669147.0,37.8,505668.0,46693.0,25608.0,17.12,5.19
2014,North Dakota,704925.0,80865.0,35.9,12213.0,55579.0,30894.0,11.47,1.73
2014,Ohio,11560380.0,1790564.0,39.1,536573.0,48849.0,26520.0,15.49,4.64
2014,Oklahoma,3818851.0,625508.0,36.2,124804.0,46235.0,24695.0,16.38,3.27
2014,Oregon,3900343.0,638816.0,38.9,206222.0,50521.0,27173.0,16.38,5.29
2014,Pennsylvania,12758729.0,1667858.0,40.4,556468.0,53115.0,28912.0,13.07,4.36
2014,Rhode Island,1053252.0,143996.0,39.7,53761.0,56423.0,30765.0,13.67,5.1
2014,South Carolina,4727273.0,840141.0,38.3,242145.0,45033.0,24222.0,17.77,5.12
2014,South Dakota,834708.0,114444.0,36.8,21364.0,50338.0,26311.0,13.71,2.56
2014,Tennessee,6451365.0,1121344.0,38.3,296819.0,44621.0,24811.0,17.38,4.6
2014,Texas,26092033.0,4500034.0,33.9,982580.0,52576.0,26513.0,17.25,3.77
2014,Utah,2858111.0,358682.0,29.9,95738.0,59846.0,24312.0,12.55,3.35
2014,Vermont,626358.0,72044.0,42.2,21643.0,54447.0,29535.0,11.5,3.46
