STATE,YEAR,dealer_regulations,buyer_regulations,gun_posses_prohibitions,background_checks,ammunition_regulations,possession_regulations,concealed_carry_permits,assault_weapons_bans,child_access_prevention,gun_trafficking,domestic_violence,no_preemption,no_stand_your_ground,immunity,total_laws
Virginia,1991,1,1,1,0,0,1,4,0,0,2,0,0,1,1,12
Washington,1991,4,1,2,0,0,0,2,0,0,0,0,0,1,0,10
West Virginia,1991,1,0,6,0,0,0,2,0,0,0,0,0,1,1,11
Wisconsin,1991,0,2,1,0,0,2,6,0,0,0,0,3,1,1,16
Wyoming,1991,0,0,0,0,0,0,2,0,0,0,0,3,1,1,7
Alabama,1992,7,1,1,0,0,0,3,0,0,0,1,1,1,1,16
Alaska,1992,0,1,1,0,0,1,6,0,0,0,0,0,1,1,11
Arizona,1992,0,0,3,0,0,1,6,0,0,0,0,0,1,1,12
Arkansas,1992,0,0,3,0,0,1,6,0,0,0,0,3,1,1,15
California,1992,12,5,7,11,0,4,5,4,4,0,2,2,1,0,57
Colorado,1992,1,0,0,0,0,1,2,0,0,0,0,3,1,1,9
