case,date,year,month,city,state,fatalities,injured,total_victims,location_catg,type,age_of_shooter,race,latitude,longitude,STATE,YEAR,dealer_regulations,buyer_regulations,gun_posses_prohibitions,background_checks,ammunition_regulations,possession_regulations,concealed_carry_permits,assault_weapons_bans,child_access_prevention,gun_trafficking,domestic_violence,no_preemption,no_stand_your_ground,immunity,total_laws,Year,State,Total Population,Poverty,Median Age,Unemployed Civilians,Median Household Income,Per Capita Income,% in Poverty,% in Unemployed
Chattanooga military recruitment center,2015-07-16,2015,July,Chattanooga,Tennessee,5,2,7,Other,Mass,24.0,Other,35.047157,-85.311819,Tennessee,2015.0,4.0,1.0,4.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,24.0,2015.0,Tennessee,6499615.0,1117594.0,38.4,266297.0,45219.0,25227.0,17.19,4.1
Charleston Church Shooting,2015-06-17,2015,June,Charleston,South Carolina,9,1,10,Other,Mass,21.0,White,32.788387,-79.933143,South Carolina,2015.0,0.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2015.0,South Carolina,4777576.0,830901.0,38.6,217977.0,45483.0,24604.0,17.39,4.56
Trestle Trail bridge shooting,2015-11-06,2015,November,Menasha,Wisconsin,3,1,4,Other,Mass,27.0,Latino,44.204124,-88.467541,Wisconsin,2015.0,0.0,1.0,5.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,6.0,0.0,1.0,1.0,23.0,2015.0,Wisconsin,5742117.0,724348.0,39.0,193763.0,53357.0,28340.0,12.61,3.37
Marysville-Pilchuck High School shooting,2014-10-24,2014,October,Marysville,Washington,5,1,6,School,Mass,15.0,Other,48.050824,-122.176918,Washington,2014.0,7.0,3.0,4.0,11.0,1.0,2.0,5.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,41.0,2014.0,Washington,6899123.0,916364.0,37.4,308955.0,60294.0,31233.0,13.28,4.48
Isla Vista mass murder,2014-05-23,2014,May,Santa Barbara,California,6,13,19,School,Mass,22.0,White,34.436283,-119.8714406,California,2014.0,14.0,10.0,7.0,11.0,4.0,4.0,6.0,7.0,9.0,6.0,18.0,2.0,1.0,1.0,100.0,2014.0,California,38066920.0,6115244.0,35.6,2084564.0,61489.0,29906.0,16.06,5.48
Fort Hood shooting 2,2014-03-04,2014,March,Fort Hood,Texas,3,12,15,Other,Mass,34.0,Latino,31.141716,-97.777559,Texas,2014.0,0.0,1.0,1.0,0.0,0.0,5.0,4.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,20.0,2014.0,Texas,26092033.0,4500034.0,33.9,982580.0,52576.0,26513.0,17.25,3.77
Alturas tribal shooting,2014-02-20,2014,February,Alturas,California,4,2,6,Other,Spree,44.0,Other,41.487104,-120.542237,California,2014.0,14.0,10.0,7.0,11.0,4.0,4.0,6.0,7.0,9.0,6.0,18.0,2.0,1.0,1.0,100.0,2014.0,California,38066920.0,6115244.0,35.6,2084564.0,61489.0,29906.0,16.06,5.48
Washington Navy Yard shooting,2013-09-16,2013,September,Washington,D.C.,12,8,20,Other,Mass,34.0,Black,38.874981,-76.99453000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hialeah apartment shooting,2013-07-26,2013,July,Hialeah,Florida,7,0,7,Other,Mass,42.0,Latino,25.864338,-80.311775,Florida,2013.0,1.0,1.0,1.0,0.0,1.0,8.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,21.0,2013.0,Florida,19091156.0,3052807.0,41.0,1096028.0,46956.0,26236.0,15.99,5.74
Santa Monica rampage,2013-07-06,2013,July,Santa Monica,California,6,3,9,Other,Mass,23.0,White,34.008617,-118.494754,California,2013.0,14.0,9.0,7.0,11.0,4.0,4.0,6.0,7.0,9.0,6.0,18.0,2.0,1.0,1.0,99.0,2013.0,California,37659181.0,5885417.0,35.4,2168665.0,61094.0,29527.0,15.63,5.76
Pinewood Village Apartment shooting,2013-04-21,2013,April,Federal Way,Washington,5,0,5,Other,Mass,27.0,Black,47.31296070000001,-122.3393665,Washington,2013.0,5.0,0.0,4.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,25.0,2013.0,Washington,6819579.0,893211.0,37.3,327155.0,59478.0,30742.0,13.1,4.8
Mohawk Valley shootings,2013-03-13,2013,March,Herkimer County,New York,5,2,7,Other,Mass,64.0,White,43.045601,-74.984891,New York,2013.0,5.0,7.0,7.0,8.0,2.0,6.0,6.0,8.0,2.0,2.0,13.0,3.0,1.0,1.0,71.0,2013.0,New York,19487053.0,2903982.0,38.1,921607.0,58003.0,32382.0,14.9,4.73
Sandy Hook Elementary massacre,2012-12-14,2012,December,Newtown,Connecticut,27,2,29,School,Mass,20.0,White,41.4123225,-73.31142358,Connecticut,2012.0,12.0,6.0,8.0,10.0,0.0,6.0,4.0,4.0,5.0,2.0,11.0,3.0,1.0,1.0,73.0,2012.0,Connecticut,3572213.0,344616.0,40.0,177706.0,69519.0,37807.0,9.65,4.97
